Address,Lat,Long
Kovan MRT,1.35990192,103.8844947
Hougang MRT,1.370334724,103.8922618
Buangkok MRT,1.383694172,103.89305
Sengkang MRT,1.391694626,103.8954847
Punggol MRT,1.414927334,103.9101664
Punggol Coast MRT,1.414927334,103.9101664
Bras Basah MRT,1.296861686,103.8506674
Esplanade MRT,1.291339907,103.8546095
Promenade MRT,1.293997986,103.86035
Nicoll Highway MRT,1.299766847,103.863637
Stadium MRT,1.302812468,103.8753377
Mountbatten MRT,1.306154061,103.8830451
Dakota MRT,1.308431443,103.8892682
MacPherson MRT,1.326839632,103.8900079
Tai Seng MRT,1.335141501,103.8883893
Bartley MRT,1.342445438,103.8801971
Lorong Chuan MRT,1.351531286,103.8648122
Marymount MRT,1.348707263,103.8394231
Caldecott MRT,1.337347223,103.8395441
Botanic Gardens MRT,1.322386995,103.8153855
Farrer Road MRT,1.317439152,103.8073792
Holland Village MRT,1.312240296,103.7963991
one-north MRT,1.299759875,103.7874575
Kent Ridge MRT,1.293533499,103.7845727
Haw Par Villa MRT,1.281956887,103.781989
Pasir Panjang MRT,1.276213522,103.7913503
Labrador Park MRT,1.272368386,103.8034162
Telok Blangah MRT,1.270706477,103.8097616
Bukit Panjang MRT,1.379561212,103.7611889
Cashew MRT,1.369846014,103.7643151
Hillview MRT,1.362888457,103.7677809
Hume MRT,1.354595324,103.7691189
Beauty World MRT,1.34090149,103.7757467
King Albert Park MRT,1.335893496,103.7832359
Sixth Avenue MRT,1.330857645,103.7969068
Tan Kah Kee MRT,1.326392241,103.8065482
Stevens MRT,1.320065558,103.8260244
Rochor MRT,1.303852185,103.8527694
Bayfront MRT,1.281873789,103.8590798
Downtown MRT,1.279446382,103.8528408
Telok Ayer MRT,1.282068948,103.8486488
Fort Canning MRT,1.292481948,103.8443314
Bencoolen MRT,1.298918434,103.8503538
Jalan Besar MRT,1.305171388,103.8552957
Bendemeer MRT,1.313672528,103.8629776
Geylang Bahru MRT,1.321301102,103.8716226
Mattar MRT,1.326876715,103.8832475
Ubi MRT,1.32997426,103.8992267
Kaki Bukit MRT,1.33496736,103.9084593
Bedok North MRT,1.334742117,103.9179783
Bedok Reservoir MRT,1.33660783,103.9322346
Tampines West MRT,1.345515306,103.938437
Tampines East MRT,1.356191483,103.9546345
Upper Changi MRT,1.341739774,103.9614728
Woodlands North MRT,1.448292453,103.7856927
Woodlands South MRT,1.427396053,103.7932643
Springleaf MRT,1.397581061,103.8178569
Lentor MRT,1.38550658,103.8357438
Mayflower MRT,1.371463188,103.8365678
Bright Hill MRT,1.363283185,103.8328936
Upper Thomson MRT,1.354416434,103.8328985
Napier MRT,1.306782234,103.8189568
Orchard Boulevard MRT,1.302422248,103.8238685
Great World MRT,1.293948162,103.8337208
Havelock MRT,1.28850524,103.8335858
Maxwell MRT,1.280533298,103.8438837
Shenton Way MRT,1.277716828,103.8503676
Gardens by the Bay MRT,1.278487259,103.8674547
Tanjong Rhu MRT,1.297265079,103.8734533
Katong Park MRT,1.297831478,103.8861789
Tanjong Katong MRT,1.299319258,103.8973687
Marine Parade MRT,1.302611635,103.9049831
Marine Terrace MRT,1.306665103,103.9151067
Siglap MRT,1.310008694,103.9300258
Bayshore MRT,1.313122483,103.9423098
