Address,Distance_MRT,Distance_Mall,Within_1km_of_Pri,Town,Flat_Type_Area_Map
77 BEDOK NTH RD,775,1755,FALSE,BEDOK,{2: 61}
116 BEDOK RESERVOIR RD,626,3095,TRUE,BEDOK,"{2: 67, 3: 92}"
18 BEDOK STH RD,1098,1036,FALSE,BEDOK,{2: 66}
40 CHAI CHEE AVE,619,468,TRUE,BEDOK,{2: 66}
57 NEW UPP CHANGI RD,772,1549,TRUE,BEDOK,{2: 61}
105 BEDOK NTH AVE 4,929,1737,TRUE,BEDOK,"{2: 71, 3: 91}"
709 BEDOK RESERVOIR RD,772,1840,FALSE,BEDOK,"{2: 70, 3: 99}"
42 CHAI CHEE ST,903,750,TRUE,BEDOK,"{2: 69, 3: 92}"
55 CHAI CHEE DR,1770,1456,FALSE,BEDOK,"{2: 77, 3: 105}"
2 BEDOK STH AVE 1,888,825,TRUE,BEDOK,{2: 67}
37 CHAI CHEE AVE,610,458,TRUE,BEDOK,{2: 67}
425 BEDOK NTH RD,887,730,TRUE,BEDOK,"{2: 69, 3: 92}"
117 BEDOK NTH RD,1382,1598,TRUE,BEDOK,"{2: 78, 3: 95, 5: 176}"
423 BEDOK NTH AVE 1,811,654,TRUE,BEDOK,"{2: 72, 3: 91}"
533 BEDOK NTH ST 3,908,1419,TRUE,BEDOK,"{2: 70, 3: 92, 4: 136, 5: 163}"
149 BEDOK RESERVOIR RD,612,2737,FALSE,BEDOK,{3: 90}
35 BEDOK STH AVE 2,1181,1484,TRUE,BEDOK,{3: 90}
42 BEDOK STH RD,1225,1686,TRUE,BEDOK,{3: 84}
34 BEDOK STH AVE 2,1411,1349,TRUE,BEDOK,{3: 90}
7 BEDOK STH AVE 2,972,909,TRUE,BEDOK,{3: 82}
8 BEDOK STH AVE 2,1036,974,TRUE,BEDOK,{3: 82}
80 BEDOK NTH RD,923,1605,TRUE,BEDOK,{3: 91}
78 BEDOK NTH RD,807,1554,FALSE,BEDOK,{3: 91}
135 BEDOK RESERVOIR RD,716,2574,FALSE,BEDOK,{3: 94}
148 BEDOK RESERVOIR RD,523,2824,FALSE,BEDOK,{3: 86}
81 BEDOK NTH RD,983,1664,TRUE,BEDOK,{3: 91}
142 BEDOK RESERVOIR RD,653,2660,FALSE,BEDOK,"{3: 84, 4: 122}"
124 BEDOK NTH RD,1178,1598,TRUE,BEDOK,"{2: 69, 3: 88}"
705 BEDOK NTH RD,369,2238,FALSE,BEDOK,{3: 91}
554 BEDOK NTH ST 3,1085,1139,TRUE,BEDOK,"{2: 71, 3: 93, 4: 136}"
602 BEDOK RESERVOIR RD,904,2634,FALSE,BEDOK,"{3: 98, 4: 122}"
508 BEDOK NTH AVE 3,705,1409,TRUE,BEDOK,{3: 92}
720 BEDOK RESERVOIR RD,1097,1624,TRUE,BEDOK,"{3: 104, 4: 137}"
765 BEDOK RESERVOIR VIEW,508,2118,TRUE,BEDOK,"{3: 105, 4: 115}"
10 CHAI CHEE RD,882,730,TRUE,BEDOK,"{3: 92, 4: 118}"
185 BEDOK NTH RD,762,1433,FALSE,BEDOK,{3: 91}
111 LENGKONG TIGA,454,2573,FALSE,BEDOK,"{3: 105, 4: 124}"
220B BEDOK CTRL,756,694,TRUE,BEDOK,"{3: 93, 4: 112}"
603 BEDOK RESERVOIR RD,943,2517,FALSE,BEDOK,"{3: 98, 4: 120}"
21 CHAI CHEE RD,1066,988,FALSE,BEDOK,"{2: 66, 4: 130}"
672 JLN DAMAI,459,3065,TRUE,BEDOK,"{3: 108, 4: 132}"
415 BEDOK NTH AVE 2,903,779,TRUE,BEDOK,{4: 119}
763 BEDOK RESERVOIR VIEW,355,1965,TRUE,BEDOK,"{3: 105, 4: 115}"
805 CHAI CHEE RD,1092,1129,FALSE,BEDOK,{4: 125}
723 BEDOK RESERVOIR RD,752,1912,TRUE,BEDOK,"{3: 106, 4: 138}"
722 BEDOK RESERVOIR RD,888,1775,TRUE,BEDOK,"{3: 107, 4: 138}"
219C BEDOK CTRL,620,558,TRUE,BEDOK,"{3: 92, 4: 113}"
640 BEDOK RESERVOIR RD,787,2903,TRUE,BEDOK,{5: 144}
160 BEDOK STH AVE 3,1211,2532,TRUE,BEDOK,{5: 147}
94C BEDOK NTH AVE 4,1091,2429,TRUE,BEDOK,{5: 143}
22 SIN MING RD,1123,1541,TRUE,BISHAN,"{2: 68, 4: 136}"
407 SIN MING AVE,171,1743,TRUE,BISHAN,"{2: 64, 3: 87}"
105 BISHAN ST 12,942,678,TRUE,BISHAN,"{2: 64, 3: 104}"
167 BISHAN ST 13,815,975,TRUE,BISHAN,"{3: 88, 4: 122}"
111 BISHAN ST 12,754,590,TRUE,BISHAN,{3: 96}
181 BISHAN ST 13,718,707,TRUE,BISHAN,"{3: 84, 4: 121}"
166 BISHAN ST 13,760,935,TRUE,BISHAN,"{3: 86, 4: 122}"
109 BISHAN ST 12,836,618,TRUE,BISHAN,{3: 88}
115 BISHAN ST 12,584,428,TRUE,BISHAN,"{2: 64, 3: 97}"
260 BISHAN ST 22,1297,1707,TRUE,BISHAN,"{3: 106, 4: 133}"
275A BISHAN ST 24,1332,1311,TRUE,BISHAN,"{3: 95, 4: 120}"
214 BISHAN ST 23,1084,1083,TRUE,BISHAN,"{3: 104, 4: 136}"
182 BISHAN ST 13,441,593,TRUE,BISHAN,"{3: 85, 4: 121}"
448 BRIGHT HILL DR,664,858,TRUE,BISHAN,"{3: 105, 4: 123}"
402 SIN MING AVE,72,1533,TRUE,BISHAN,{4: 120}
128 BISHAN ST 12,740,682,TRUE,BISHAN,"{4: 121, 5: 150}"
303 SHUNFU RD,258,1451,TRUE,BISHAN,"{3: 97, 4: 123}"
231 BISHAN ST 23,1076,1063,TRUE,BISHAN,{5: 147}
134 BISHAN ST 12,919,861,TRUE,BISHAN,{5: 146}
342 BT BATOK ST 34,768,1716,TRUE,BUKIT BATOK,"{2: 64, 3: 84}"
530 BT BATOK ST 51,341,1259,TRUE,BUKIT BATOK,"{2: 64, 3: 86}"
145 BT BATOK ST 11,899,884,TRUE,BUKIT BATOK,"{2: 71, 3: 97}"
528 BT BATOK ST 51,279,1255,TRUE,BUKIT BATOK,{2: 62}
