Address,Distance_MRT,Distance_Mall,Within_1km_of_Pri,Town,Flat_Type_Area_Map
169 BEDOK STH AVE 3,1055,2317,TRUE,BEDOK,{3: 92}
64 NEW UPP CHANGI RD,985,1338,TRUE,BEDOK,{3: 92}
507 BEDOK NTH AVE 3,658,1361,TRUE,BEDOK,{3: 92}
718 BEDOK RESERVOIR RD,1110,1765,TRUE,BEDOK,"{3: 104, 4: 135}"
428 BEDOK NTH RD,975,818,TRUE,BEDOK,{3: 92}
666 JLN DAMAI,351,3215,TRUE,BEDOK,"{3: 104, 4: 125}"
651 JLN TENAGA,565,2977,TRUE,BEDOK,"{3: 108, 4: 129}"
771 BEDOK RESERVOIR VIEW,859,2241,TRUE,BEDOK,"{3: 105, 4: 115}"
770 BEDOK RESERVOIR VIEW,806,2187,TRUE,BEDOK,"{3: 105, 4: 115}"
183 BEDOK NTH RD,628,1572,FALSE,BEDOK,{3: 90}
221A BEDOK CTRL,775,712,TRUE,BEDOK,"{3: 92, 4: 112}"
182 BEDOK NTH RD,677,1583,FALSE,BEDOK,"{3: 90, 4: 110}"
114 LENGKONG TIGA,308,2369,FALSE,BEDOK,"{3: 114, 4: 123}"
221C BEDOK CTRL,707,645,TRUE,BEDOK,"{2: 69, 3: 96}"
604 BEDOK RESERVOIR RD,864,2449,FALSE,BEDOK,"{3: 98, 4: 122}"
140 BEDOK RESERVOIR RD,612,2619,FALSE,BEDOK,"{3: 84, 4: 122}"
146 BEDOK RESERVOIR RD,598,2722,FALSE,BEDOK,"{3: 87, 4: 122}"
711 BEDOK RESERVOIR RD,974,1786,TRUE,BEDOK,"{3: 98, 4: 121}"
139 BEDOK NTH AVE 3,1256,1165,TRUE,BEDOK,"{3: 91, 4: 117}"
99 BEDOK NTH AVE 4,1076,1996,TRUE,BEDOK,{4: 123}
552 BEDOK NTH AVE 1,1224,1071,TRUE,BEDOK,{4: 121}
645 JLN TENAGA,690,2883,TRUE,BEDOK,{4: 123}
656 JLN TENAGA,435,3207,TRUE,BEDOK,"{3: 104, 4: 126}"
33 CHAI CHEE AVE,558,556,TRUE,BEDOK,{4: 116}
407 BEDOK NTH AVE 3,981,867,TRUE,BEDOK,{4: 118}
72 BEDOK STH AVE 3,994,2129,TRUE,BEDOK,{4: 123}
61 NEW UPP CHANGI RD,1033,1631,TRUE,BEDOK,{4: 117}
636 BEDOK RESERVOIR RD,854,2756,TRUE,BEDOK,{5: 143}
661 JLN DAMAI,310,3335,TRUE,BEDOK,{5: 144}
29A CHAI CHEE AVE,823,746,FALSE,BEDOK,{5: 146}
23 SIN MING RD,612,988,TRUE,BISHAN,{2: 65}
24 SIN MING RD,720,1097,TRUE,BISHAN,{2: 65}
406 SIN MING AVE,206,1702,TRUE,BISHAN,"{2: 64, 3: 87}"
146 BISHAN ST 11,1229,1171,TRUE,BISHAN,"{3: 88, 4: 122}"
272 BISHAN ST 24,1170,1667,TRUE,BISHAN,{3: 104}
443 SIN MING AVE,735,928,TRUE,BISHAN,"{3: 106, 4: 123, 5: 199}"
107 BISHAN ST 12,879,661,TRUE,BISHAN,{3: 89}
113 BISHAN ST 12,656,552,TRUE,BISHAN,{3: 91}
153 BISHAN ST 13,1028,1072,TRUE,BISHAN,"{3: 84, 4: 122}"
123 BISHAN ST 12,704,646,TRUE,BISHAN,{3: 92}
445 SIN MING AVE,726,920,TRUE,BISHAN,"{3: 106, 4: 122, 5: 188}"
114 BISHAN ST 12,638,482,TRUE,BISHAN,{3: 91}
191 BISHAN ST 13,448,533,TRUE,BISHAN,"{3: 86, 4: 121}"
256 BISHAN ST 22,1258,1444,TRUE,BISHAN,"{3: 108, 4: 133}"
189 BISHAN ST 13,450,550,TRUE,BISHAN,"{2: 64, 3: 84}"
195 BISHAN ST 13,484,426,TRUE,BISHAN,"{2: 64, 3: 85}"
503 BISHAN ST 11,477,211,TRUE,BISHAN,{3: 107}
135 BISHAN ST 12,1524,916,TRUE,BISHAN,"{4: 121, 5: 156}"
157 BISHAN ST 13,1160,1275,TRUE,BISHAN,"{3: 104, 4: 126}"
444 SIN MING AVE,666,860,TRUE,BISHAN,"{4: 125, 5: 160}"
228 BISHAN ST 23,1140,1138,TRUE,BISHAN,"{3: 106, 4: 134}"
290 BISHAN ST 24,1152,1131,TRUE,BISHAN,"{3: 105, 4: 122}"
179 BISHAN ST 13,548,522,TRUE,BISHAN,"{4: 121, 5: 156}"
238 BISHAN ST 22,1403,1389,TRUE,BISHAN,{5: 147}
245 BISHAN ST 22,1833,1674,TRUE,BISHAN,{5: 149}
186 BISHAN ST 13,539,596,TRUE,BISHAN,{5: 146}
420 BT BATOK WEST AVE 2,1022,1644,TRUE,BUKIT BATOK,"{2: 68, 3: 94}"
267 BT BATOK EAST AVE 4,1503,1530,TRUE,BUKIT BATOK,"{2: 65, 3: 88}"
523 BT BATOK ST 52,324,1391,TRUE,BUKIT BATOK,"{2: 64, 4: 137}"
283 BT BATOK EAST AVE 3,1196,1223,TRUE,BUKIT BATOK,"{2: 65, 3: 84}"
271 BT BATOK EAST AVE 4,1349,1376,TRUE,BUKIT BATOK,"{2: 64, 3: 87}"
272 BT BATOK EAST AVE 4,1210,1236,TRUE,BUKIT BATOK,"{2: 64, 3: 87}"
316 BT BATOK ST 32,729,1390,TRUE,BUKIT BATOK,"{2: 68, 3: 93}"
160 BT BATOK ST 11,1030,1105,TRUE,BUKIT BATOK,"{2: 73, 3: 104}"
229 BT BATOK EAST AVE 3,767,796,TRUE,BUKIT BATOK,"{2: 67, 3: 95}"
417 BT BATOK WEST AVE 4,968,1688,TRUE,BUKIT BATOK,"{2: 73, 3: 103}"
175 BT BATOK WEST AVE 8,1133,1291,TRUE,BUKIT BATOK,"{2: 68, 3: 93, 4: 134}"
180 BT BATOK WEST AVE 8,1017,1175,TRUE,BUKIT BATOK,"{2: 68, 3: 93}"
321 BT BATOK ST 33,673,1540,TRUE,BUKIT BATOK,"{2: 68, 3: 95}"
409 BT BATOK WEST AVE 4,1211,1888,TRUE,BUKIT BATOK,"{2: 68, 3: 96}"
161 BT BATOK ST 11,1063,1141,TRUE,BUKIT BATOK,"{2: 73, 3: 104}"
225 BT BATOK CTRL,512,579,TRUE,BUKIT BATOK,"{2: 68, 3: 94}"
363 BT BATOK ST 31,487,1552,TRUE,BUKIT BATOK,"{2: 68, 3: 95}"
233 BT BATOK EAST AVE 5,811,833,TRUE,BUKIT BATOK,"{2: 70, 3: 94}"
164 BT BATOK ST 11,1017,1125,TRUE,BUKIT BATOK,"{2: 73, 3: 104}"
231 BT BATOK EAST AVE 5,738,759,TRUE,BUKIT BATOK,"{2: 67, 3: 93}"
238 BT BATOK EAST AVE 5,820,841,TRUE,BUKIT BATOK,"{2: 68, 3: 96}"
258 BT BATOK EAST AVE 4,1314,1335,TRUE,BUKIT BATOK,"{2: 73, 3: 103}"
207 BT BATOK ST 21,448,668,TRUE,BUKIT BATOK,"{2: 73, 3: 104}"
311 BT BATOK ST 32,522,1414,TRUE,BUKIT BATOK,"{2: 64, 3: 87}"
510 BT BATOK ST 52,990,1009,TRUE,BUKIT BATOK,"{3: 87, 4: 122}"
333 BT BATOK ST 32,997,1874,TRUE,BUKIT BATOK,"{2: 64, 3: 88}"
146 BT BATOK WEST AVE 6,818,803,TRUE,BUKIT BATOK,"{2: 70, 3: 93}"
148 BT BATOK WEST AVE 6,860,880,TRUE,BUKIT BATOK,"{2: 72, 3: 93}"
105 BT BATOK CTRL,356,567,TRUE,BUKIT BATOK,{3: 106}
302 BT BATOK ST 31,535,992,TRUE,BUKIT BATOK,"{2: 67, 3: 104}"
337 BT BATOK ST 34,778,1876,TRUE,BUKIT BATOK,{3: 90}
313 BT BATOK ST 32,598,1426,TRUE,BUKIT BATOK,"{2: 68, 3: 95}"
288D BT BATOK ST 25,1497,1526,TRUE,BUKIT BATOK,{3: 92}
266 BT BATOK EAST AVE 4,1482,1508,TRUE,BUKIT BATOK,{3: 94}
392 BT BATOK WEST AVE 5,995,3933,TRUE,BUKIT BATOK,"{3: 92, 4: 118}"
291A BT BATOK ST 24,1306,1526,TRUE,BUKIT BATOK,"{3: 102, 4: 121}"
367 BT BATOK ST 31,389,1446,TRUE,BUKIT BATOK,"{2: 68, 3: 97}"
108 BT BATOK WEST AVE 6,510,730,TRUE,BUKIT BATOK,{3: 105}
290E BT BATOK ST 24,1425,1454,TRUE,BUKIT BATOK,"{3: 103, 4: 121}"
383 BT BATOK WEST AVE 5,481,3420,TRUE,BUKIT BATOK,"{3: 90, 4: 115}"
201 BT BATOK ST 21,490,710,TRUE,BUKIT BATOK,"{3: 107, 4: 141}"
290F BT BATOK ST 24,1464,1509,TRUE,BUKIT BATOK,"{3: 103, 4: 121}"
291E BT BATOK ST 24,1179,1399,TRUE,BUKIT BATOK,"{3: 103, 4: 121}"
419 BT BATOK WEST AVE 2,927,1559,TRUE,BUKIT BATOK,"{3: 83, 4: 125}"
191 BT BATOK WEST AVE 6,709,929,TRUE,BUKIT BATOK,"{3: 100, 4: 120}"
189 BT BATOK WEST AVE 6,576,796,TRUE,BUKIT BATOK,"{3: 99, 4: 118}"
390 BT BATOK WEST AVE 5,860,3798,TRUE,BUKIT BATOK,{4: 118}
297 BT BATOK ST 22,609,829,TRUE,BUKIT BATOK,"{3: 100, 4: 119}"
286 BT BATOK EAST AVE 3,1315,1344,TRUE,BUKIT BATOK,{4: 130}
110 BT BATOK WEST AVE 6,585,743,TRUE,BUKIT BATOK,{4: 132}
402 BT BATOK WEST AVE 7,1391,2013,TRUE,BUKIT BATOK,{5: 149}
406 BT BATOK WEST AVE 7,1289,1982,TRUE,BUKIT BATOK,{5: 149}
526 BT BATOK ST 51,199,1260,TRUE,BUKIT BATOK,{5: 146}
140 BT BATOK ST 11,896,835,TRUE,BUKIT BATOK,{5: 149}
7 TELOK BLANGAH CRES,1708,1824,TRUE,BUKIT MERAH,{0: 31}
8 TELOK BLANGAH CRES,1815,1931,TRUE,BUKIT MERAH,{2: 62}
42 TELOK BLANGAH RISE,1432,1341,TRUE,BUKIT MERAH,"{2: 64, 4: 141}"
43 TELOK BLANGAH RISE,1497,1405,TRUE,BUKIT MERAH,"{2: 61, 4: 141}"
28 HOY FATT RD,1053,962,FALSE,BUKIT MERAH,"{1: 47, 2: 60}"
138 JLN BT MERAH,1108,1224,TRUE,BUKIT MERAH,"{2: 62, 4: 118}"
86 REDHILL CL,451,1348,TRUE,BUKIT MERAH,{2: 60}
31 TELOK BLANGAH RISE,1702,1610,TRUE,BUKIT MERAH,{2: 63}
1 TELOK BLANGAH CRES,1496,1801,TRUE,BUKIT MERAH,{2: 69}
30 TELOK BLANGAH RISE,1818,1727,TRUE,BUKIT MERAH,{2: 65}
14 TAMAN HO SWEE,351,855,TRUE,BUKIT MERAH,"{1: 47, 2: 54}"
46 JLN BT HO SWEE,606,755,TRUE,BUKIT MERAH,{2: 62}
22 TELOK BLANGAH CRES,2193,1931,TRUE,BUKIT MERAH,{2: 64}
148 SILAT AVE,1336,1579,TRUE,BUKIT MERAH,"{2: 70, 3: 93, 5: 156}"
62 TELOK BLANGAH HTS,788,2023,FALSE,BUKIT MERAH,"{2: 76, 3: 98}"
128 BT MERAH VIEW,765,881,TRUE,BUKIT MERAH,{2: 67}
1A CANTONMENT RD,547,648,FALSE,CENTRAL AREA,"{3: 95, 4: 106}"
5 EVERTON PK,697,778,FALSE,BUKIT MERAH,"{2: 72, 4: 127}"
2 EVERTON PK,602,840,FALSE,BUKIT MERAH,"{2: 72, 4: 132}"
55 HAVELOCK RD,875,760,TRUE,BUKIT MERAH,"{2: 69, 3: 92}"
26D JLN MEMBINA,572,688,TRUE,BUKIT MERAH,"{2: 60, 3: 90}"
51 LENGKOK BAHRU,687,1195,FALSE,BUKIT MERAH,"{3: 86, 4: 122}"
65 TELOK BLANGAH DR,580,1892,FALSE,BUKIT MERAH,"{2: 69, 3: 92}"
54 LENGKOK BAHRU,468,1291,FALSE,BUKIT MERAH,"{3: 86, 4: 122}"
108 JLN BT MERAH,1029,1145,TRUE,BUKIT MERAH,"{2: 74, 3: 108}"
40 JLN RUMAH TINGGI,856,981,FALSE,BUKIT MERAH,{3: 100}
8 JLN RUMAH TINGGI,1370,781,FALSE,BUKIT MERAH,"{3: 104, 4: 136}"
12 JLN BT MERAH,1093,429,FALSE,BUKIT MERAH,"{3: 104, 4: 127}"
18 CANTONMENT CL,1089,615,FALSE,BUKIT MERAH,"{2: 60, 3: 82, 4: 110}"
75B REDHILL RD,221,1556,FALSE,BUKIT MERAH,"{3: 100, 4: 115}"
13 CANTONMENT CL,876,556,FALSE,BUKIT MERAH,"{2: 60, 3: 83, 4: 110}"
120A KIM TIAN PL,427,543,TRUE,BUKIT MERAH,"{3: 99, 4: 115}"
6A BOON TIONG RD,484,653,TRUE,BUKIT MERAH,"{3: 99, 4: 115}"
126C KIM TIAN RD,809,853,TRUE,BUKIT MERAH,"{2: 62, 3: 90}"
73 TELOK BLANGAH HTS,693,2545,FALSE,BUKIT MERAH,{4: 118}
117 BT MERAH CTRL,1174,1677,FALSE,BUKIT MERAH,{4: 117}
104A DEPOT RD,2041,2163,FALSE,BUKIT MERAH,"{3: 100, 4: 115}"
103B DEPOT RD,1620,2198,FALSE,BUKIT MERAH,"{3: 100, 4: 115}"
112B DEPOT RD,1761,1604,FALSE,BUKIT MERAH,"{3: 98, 4: 116}"
9 JLN RUMAH TINGGI,1323,779,FALSE,BUKIT MERAH,{4: 136}
2 DELTA AVE,1171,482,TRUE,BUKIT MERAH,{4: 122}
9 CANTONMENT CL,881,702,FALSE,BUKIT MERAH,"{2: 60, 3: 90, 4: 110}"
70 REDHILL CL,475,1595,TRUE,BUKIT MERAH,"{3: 100, 4: 115}"
118B JLN MEMBINA,621,737,TRUE,BUKIT MERAH,"{3: 88, 4: 110}"
131 CASHEW RD,1081,1071,TRUE,BUKIT PANJANG,"{2: 73, 3: 103}"
229 PENDING RD,1181,1132,TRUE,BUKIT PANJANG,"{2: 73, 3: 105}"
109 GANGSA RD,944,614,TRUE,BUKIT PANJANG,"{2: 65, 3: 84}"
137 PETIR RD,1014,959,TRUE,BUKIT PANJANG,"{2: 73, 3: 103}"
143 PETIR RD,990,667,TRUE,BUKIT PANJANG,"{2: 73, 3: 104}"
257 BANGKIT RD,1622,1354,TRUE,BUKIT PANJANG,"{3: 105, 4: 123}"
611 BT PANJANG RING RD,697,805,TRUE,BUKIT PANJANG,"{3: 90, 4: 110}"
512 JELAPANG RD,1498,1325,TRUE,BUKIT PANJANG,"{3: 101, 4: 120}"
221 PENDING RD,1329,1394,TRUE,BUKIT PANJANG,"{2: 73, 3: 103}"
145 PETIR RD,1296,707,TRUE,BUKIT PANJANG,{3: 105}
477 SEGAR RD,2139,1899,TRUE,BUKIT PANJANG,"{3: 92, 4: 111}"
504 JELAPANG RD,1156,984,TRUE,BUKIT PANJANG,"{3: 103, 4: 123}"
216 PETIR RD,1463,1545,TRUE,BUKIT PANJANG,"{2: 73, 3: 103}"
525 JELAPANG RD,1191,1045,TRUE,BUKIT PANJANG,"{3: 103, 4: 121, 5: 144}"
630 SENJA RD,1051,1059,TRUE,BUKIT PANJANG,"{3: 92, 4: 110}"
166 GANGSA RD,698,379,TRUE,BUKIT PANJANG,"{3: 101, 4: 122}"
457 SEGAR RD,1906,1697,TRUE,BUKIT PANJANG,"{2: 68, 3: 93}"
170 GANGSA RD,721,391,TRUE,BUKIT PANJANG,"{3: 101, 4: 122}"
178 LOMPANG RD,488,229,TRUE,BUKIT PANJANG,"{3: 90, 4: 110}"
163 GANGSA RD,671,381,TRUE,BUKIT PANJANG,"{3: 102, 4: 120}"
181 JELEBU RD,261,288,TRUE,BUKIT PANJANG,"{3: 94, 4: 111, 5: 126}"
483 SEGAR RD,2043,1802,TRUE,BUKIT PANJANG,"{3: 91, 4: 110, 5: 128}"
136 PETIR RD,893,997,TRUE,BUKIT PANJANG,"{3: 105, 4: 124}"
481 SEGAR RD,2130,1889,TRUE,BUKIT PANJANG,"{3: 92, 4: 110}"
608 SENJA RD,693,800,TRUE,BUKIT PANJANG,{4: 110}
173 GANGSA RD,737,426,TRUE,BUKIT PANJANG,"{3: 101, 4: 122}"
183 JELEBU RD,261,268,TRUE,BUKIT PANJANG,"{3: 91, 4: 111, 5: 126}"
470 SEGAR RD,2046,1805,TRUE,BUKIT PANJANG,"{3: 91, 4: 110, 5: 131}"
130 CASHEW RD,985,1172,TRUE,BUKIT PANJANG,{5: 144}
527 JELAPANG RD,1126,980,TRUE,BUKIT PANJANG,"{3: 103, 4: 123, 5: 144}"
542 JELAPANG RD,667,495,TRUE,BUKIT PANJANG,{5: 141}
8 EMPRESS RD,350,3001,TRUE,BUKIT TIMAH,"{2: 67, 4: 130}"
18 TOH YI DR,394,868,TRUE,BUKIT TIMAH,"{2: 64, 3: 86}"
6 FARRER RD,98,3326,TRUE,BUKIT TIMAH,"{2: 76, 3: 91}"
11 TOH YI DR,661,1082,TRUE,BUKIT TIMAH,"{3: 106, 4: 123}"
10 JLN KUKOH,891,836,TRUE,CENTRAL AREA,"{1: 53, 2: 76, 3: 107}"
34 UPP CROSS ST,329,349,FALSE,CENTRAL AREA,"{2: 65, 4: 130}"
2 TG PAGAR PLAZA,680,290,FALSE,CENTRAL AREA,{2: 60}
533 UPP CROSS ST,333,222,FALSE,CENTRAL AREA,{2: 62}
3 TG PAGAR PLAZA,662,330,FALSE,CENTRAL AREA,"{2: 62, 4: 128}"
269B QUEEN ST,422,435,TRUE,CENTRAL AREA,"{2: 67, 3: 96}"
632 VEERASAMY RD,168,1207,FALSE,CENTRAL AREA,"{3: 104, 4: 138}"
1G CANTONMENT RD,874,456,FALSE,CENTRAL AREA,"{3: 94, 4: 106}"
10 TECK WHYE AVE,994,1009,FALSE,CHOA CHU KANG,"{2: 69, 3: 92}"
442 CHOA CHU KANG AVE 4,999,1045,TRUE,CHOA CHU KANG,{3: 91}
688A CHOA CHU KANG DR,923,1060,FALSE,CHOA CHU KANG,"{3: 90, 4: 110}"
17 TECK WHYE LANE,1241,1235,TRUE,CHOA CHU KANG,{3: 92}
542 CHOA CHU KANG ST 52,634,632,TRUE,CHOA CHU KANG,"{3: 105, 4: 126}"
297A CHOA CHU KANG AVE 2,1247,1212,TRUE,CHOA CHU KANG,"{3: 102, 5: 141}"
456 CHOA CHU KANG AVE 4,1402,1448,TRUE,CHOA CHU KANG,{3: 104}
484A CHOA CHU KANG AVE 5,1474,1480,TRUE,CHOA CHU KANG,{3: 91}
20 TECK WHYE LANE,1273,1268,TRUE,CHOA CHU KANG,{3: 91}
470 CHOA CHU KANG AVE 3,1279,1325,TRUE,CHOA CHU KANG,"{3: 101, 4: 121}"
485 CHOA CHU KANG AVE 5,1713,1693,TRUE,CHOA CHU KANG,"{3: 101, 4: 116}"
427 CHOA CHU KANG AVE 4,869,915,TRUE,CHOA CHU KANG,"{3: 104, 4: 132}"
471 CHOA CHU KANG AVE 3,1232,1278,TRUE,CHOA CHU KANG,"{3: 101, 4: 121}"
673A CHOA CHU KANG CRES,545,681,TRUE,CHOA CHU KANG,"{3: 102, 4: 124}"
441 CHOA CHU KANG AVE 4,703,749,TRUE,CHOA CHU KANG,"{3: 105, 4: 125}"
687B CHOA CHU KANG DR,973,1109,FALSE,CHOA CHU KANG,"{3: 90, 4: 110}"
465 CHOA CHU KANG AVE 4,1431,1437,TRUE,CHOA CHU KANG,"{3: 104, 4: 123}"
681 CHOA CHU KANG CRES,962,1018,TRUE,CHOA CHU KANG,"{3: 105, 4: 124, 5: 144}"
219 CHOA CHU KANG CTRL,515,480,TRUE,CHOA CHU KANG,{3: 106}
217 CHOA CHU KANG CTRL,564,369,TRUE,CHOA CHU KANG,{3: 107}
627 CHOA CHU KANG ST 62,167,194,TRUE,CHOA CHU KANG,"{3: 101, 4: 120}"
642 CHOA CHU KANG ST 64,288,425,TRUE,CHOA CHU KANG,"{3: 100, 4: 123, 5: 182}"
639 CHOA CHU KANG ST 64,218,355,TRUE,CHOA CHU KANG,"{3: 100, 4: 123, 5: 215}"
501 CHOA CHU KANG ST 51,819,1012,TRUE,CHOA CHU KANG,"{3: 107, 4: 125}"
224 CHOA CHU KANG CTRL,632,597,TRUE,CHOA CHU KANG,"{3: 104, 4: 122}"
702 CHOA CHU KANG ST 53,772,769,TRUE,CHOA CHU KANG,"{3: 111, 4: 126}"
690C CHOA CHU KANG CRES,1024,1161,FALSE,CHOA CHU KANG,{4: 110}
686D CHOA CHU KANG CRES,911,1047,FALSE,CHOA CHU KANG,"{3: 90, 4: 110}"
670 CHOA CHU KANG CRES,724,860,FALSE,CHOA CHU KANG,"{3: 104, 4: 124}"
154 JLN TECK WHYE,703,860,FALSE,CHOA CHU KANG,"{3: 100, 4: 121}"
656 CHOA CHU KANG CRES,651,787,TRUE,CHOA CHU KANG,"{3: 103, 4: 121, 5: 141}"
752 CHOA CHU KANG NTH 5,719,717,TRUE,CHOA CHU KANG,"{3: 108, 4: 127}"
562 CHOA CHU KANG ST 52,316,249,TRUE,CHOA CHU KANG,"{3: 108, 4: 130}"
641 CHOA CHU KANG ST 64,356,493,TRUE,CHOA CHU KANG,"{3: 100, 4: 123, 5: 215}"
632 CHOA CHU KANG NTH 6,272,298,TRUE,CHOA CHU KANG,{4: 127}
792 CHOA CHU KANG NTH 6,464,462,TRUE,CHOA CHU KANG,"{3: 110, 4: 127}"
618 CHOA CHU KANG NTH 7,489,625,TRUE,CHOA CHU KANG,"{3: 107, 4: 133}"
133 TECK WHYE LANE,1181,986,TRUE,CHOA CHU KANG,{5: 145}
606 CHOA CHU KANG ST 62,454,475,TRUE,CHOA CHU KANG,{5: 146}
164 JLN TECK WHYE,723,717,FALSE,CHOA CHU KANG,{5: 142}
287 CHOA CHU KANG AVE 2,1040,1004,TRUE,CHOA CHU KANG,{5: 147}
448 CHOA CHU KANG AVE 4,1077,1123,TRUE,CHOA CHU KANG,{5: 141}
768 CHOA CHU KANG ST 54,792,821,TRUE,CHOA CHU KANG,{5: 147}
711 CLEMENTI WEST ST 2,1759,869,FALSE,CLEMENTI,"{2: 70, 3: 92}"
701 WEST COAST RD,1403,783,TRUE,CLEMENTI,"{2: 67, 3: 93, 4: 134}"
508 WEST COAST DR,844,774,TRUE,CLEMENTI,"{2: 69, 3: 85, 5: 162}"
335 CLEMENTI AVE 2,617,674,TRUE,CLEMENTI,"{2: 69, 3: 88, 5: 149}"
343 CLEMENTI AVE 5,1041,1098,FALSE,CLEMENTI,"{2: 69, 3: 92}"
365 CLEMENTI AVE 2,768,836,FALSE,CLEMENTI,"{2: 73, 3: 90}"
341 CLEMENTI AVE 5,897,953,TRUE,CLEMENTI,"{2: 68, 3: 92}"
366 CLEMENTI AVE 2,971,1040,FALSE,CLEMENTI,{2: 61}
608 CLEMENTI WEST ST 1,1837,152,FALSE,CLEMENTI,"{2: 69, 3: 92}"
506 WEST COAST DR,667,597,TRUE,CLEMENTI,"{2: 68, 3: 86}"
610 CLEMENTI WEST ST 1,1648,422,FALSE,CLEMENTI,"{2: 74, 3: 104}"
707 CLEMENTI WEST ST 2,1523,642,FALSE,CLEMENTI,{3: 91}
609 CLEMENTI WEST ST 1,1710,93,FALSE,CLEMENTI,{3: 92}
205 CLEMENTI AVE 6,821,885,TRUE,CLEMENTI,{3: 92}
347 CLEMENTI AVE 5,926,983,FALSE,CLEMENTI,{3: 92}
379 CLEMENTI AVE 5,667,723,TRUE,CLEMENTI,"{2: 72, 3: 91}"
316 CLEMENTI AVE 4,457,521,TRUE,CLEMENTI,{3: 91}
317 CLEMENTI AVE 4,412,476,TRUE,CLEMENTI,{3: 91}
421 CLEMENTI AVE 1,994,1313,FALSE,CLEMENTI,"{2: 74, 3: 95}"
424 CLEMENTI AVE 1,1291,1323,FALSE,CLEMENTI,"{2: 74, 3: 99}"
605 CLEMENTI WEST ST 1,1750,454,FALSE,CLEMENTI,{4: 119}
414 C'WEALTH AVE WEST,880,1051,FALSE,CLEMENTI,{4: 125}
337 CLEMENTI AVE 2,654,710,TRUE,CLEMENTI,{4: 119}
458 CLEMENTI AVE 3,483,551,FALSE,CLEMENTI,{4: 110}
416 CLEMENTI AVE 1,1057,1171,FALSE,CLEMENTI,"{3: 100, 4: 116}"
115 CLEMENTI ST 13,1838,1894,FALSE,CLEMENTI,{5: 149}
116 CLEMENTI ST 13,1780,1836,FALSE,CLEMENTI,{5: 150}
87 CIRCUIT RD,755,1436,TRUE,GEYLANG,{2: 60}
19 BALAM RD,733,2116,FALSE,GEYLANG,{2: 60}
60 CIRCUIT RD,673,1562,TRUE,GEYLANG,{2: 56}
48 CIRCUIT RD,575,1679,TRUE,GEYLANG,{2: 60}
38 CIRCUIT RD,575,1818,FALSE,GEYLANG,{2: 60}
25 EUNOS CRES,539,1536,TRUE,GEYLANG,"{2: 59, 4: 118}"
62 CIRCUIT RD,438,1579,FALSE,GEYLANG,"{1: 45, 2: 58}"
305 UBI AVE 1,463,2458,TRUE,GEYLANG,"{2: 63, 3: 93}"
108 ALJUNIED CRES,688,1178,TRUE,GEYLANG,"{2: 70, 3: 93}"
124 GEYLANG EAST AVE 1,660,996,TRUE,GEYLANG,"{2: 74, 3: 105, 4: 133}"
31 EUNOS CRES,231,1262,TRUE,GEYLANG,"{2: 60, 3: 90}"
348 UBI AVE 1,719,2242,TRUE,GEYLANG,{3: 92}
314 UBI AVE 1,638,2442,TRUE,GEYLANG,{3: 91}
351 UBI AVE 1,796,2167,TRUE,GEYLANG,"{3: 104, 4: 122}"
43A SIMS DR,877,2049,TRUE,GEYLANG,"{3: 108, 4: 122}"
107 ALJUNIED CRES,629,1282,TRUE,GEYLANG,{3: 91}
32 CASSIA CRES,535,1549,TRUE,GEYLANG,"{2: 68, 3: 95}"
34 CASSIA CRES,563,1464,TRUE,GEYLANG,"{2: 68, 3: 94}"
3A GEYLANG SERAI,675,776,FALSE,GEYLANG,{3: 93}
35 EUNOS CRES,348,1308,TRUE,GEYLANG,"{2: 60, 3: 86, 4: 110}"
2B GEYLANG SERAI,690,660,FALSE,GEYLANG,{3: 94}
39 JLN TIGA,895,969,FALSE,GEYLANG,"{3: 93, 4: 111}"
45 JLN TIGA,481,1518,TRUE,GEYLANG,"{3: 92, 4: 110}"
125 ALJUNIED RD,775,1930,TRUE,GEYLANG,{4: 121}
50 SIMS DR,637,2022,TRUE,GEYLANG,{4: 117}
56 PIPIT RD,451,1244,TRUE,GEYLANG,{4: 121}
23 HAIG RD,765,340,TRUE,GEYLANG,{4: 118}
1 HOUGANG AVE 3,1071,1439,TRUE,HOUGANG,{2: 61}
6 HOUGANG AVE 3,1292,1331,TRUE,HOUGANG,{2: 61}
114 HOUGANG AVE 1,1420,1218,TRUE,HOUGANG,"{2: 67, 3: 96}"
327 HOUGANG AVE 5,735,772,TRUE,HOUGANG,"{2: 68, 3: 93, 4: 134}"
660 HOUGANG AVE 8,1427,551,TRUE,HOUGANG,"{2: 74, 3: 104}"
17 HOUGANG AVE 3,1120,1110,TRUE,HOUGANG,"{2: 76, 3: 98}"
653 HOUGANG AVE 8,1683,575,TRUE,HOUGANG,{4: 120}
309 HOUGANG AVE 5,896,1039,TRUE,HOUGANG,"{2: 72, 3: 93}"
19 HOUGANG AVE 3,1110,1195,TRUE,HOUGANG,"{2: 76, 3: 98}"
688 HOUGANG ST 61,1512,873,TRUE,HOUGANG,"{2: 74, 3: 103}"
117 HOUGANG AVE 1,1317,1041,TRUE,HOUGANG,{2: 71}
123 HOUGANG AVE 1,1176,1005,TRUE,HOUGANG,"{2: 70, 3: 91}"
401 HOUGANG AVE 10,1173,543,TRUE,HOUGANG,"{2: 72, 3: 92}"
528 HOUGANG AVE 6,754,677,TRUE,HOUGANG,"{2: 74, 3: 105}"
