Address,Lat,Long,Nearest_MRT,Distance_MRT,Nearest_Mall,Distance_Mall,Nearest_Pri_Sch,Within_1km_of_Pri
324 WOODLANDS ST 32,1.431238489,103.7797125,Marsiling MRT,761,Causeway Point,949,Marsiling Primary School,TRUE
666A YISHUN AVE 4,1.419408052,103.8399938,Khatib MRT,1029,Northpoint City,1608,Northland Primary School,TRUE
490B CHOA CHU KANG AVE 5,1.37562312,103.7413407,Choa Chu Kang MRT,1546,Lot One,1511,Chua Chu Kang Primary School,TRUE
489D CHOA CHU KANG AVE 5,1.375887937,103.7402252,Choa Chu Kang MRT,1534,Lot One,1499,Chua Chu Kang Primary School,TRUE
490D CHOA CHU KANG AVE 5,1.376028692,103.7413682,Choa Chu Kang MRT,1540,Lot One,1505,Chua Chu Kang Primary School,TRUE
131 GEYLANG EAST AVE 1,1.316758614,103.8868112,Aljunied MRT,628,Paya Lebar Square,968,Geylang Methodist School (Primary),TRUE
161 PASIR RIS ST 13,1.363744014,103.9619355,Tampines MRT,1526,White Sands,479,White Sands Primary School,TRUE
308A PUNGGOL WALK,1.407761431,103.900999,Punggol MRT,2381,Waterway Point,550,Valour Primary School,TRUE
86 DAWSON RD,1.295649031,103.8102305,Queenstown MRT,776,Anchorpoint,1076,Alexandra Primary School,FALSE
90 DAWSON RD,1.295401639,103.8121856,Queenstown MRT,957,Anchorpoint,1258,Alexandra Primary School,FALSE
471C FERNVALE ST,1.395952911,103.8815041,Sengkang MRT,1844,The Seletar Mall,1114,Fern Green Primary School,TRUE
472A FERNVALE ST,1.397402242,103.8813381,Sengkang MRT,2108,The Seletar Mall,1220,Fern Green Primary School,TRUE
239 TAMPINES ST 21,1.35477157,103.9465841,Tampines MRT,1077,Tampines Mall,416,Gongshang Primary School,TRUE
807A CHAI CHEE RD,1.327073879,103.9231882,Bedok MRT,1184,Bedok Mall,1033,Fengshan Primary School,TRUE
488B CHOA CHU KANG AVE 5,1.376973982,103.7392932,Choa Chu Kang MRT,1432,Lot One,1397,Chua Chu Kang Primary School,TRUE
488C CHOA CHU KANG AVE 5,1.376596783,103.7399496,Choa Chu Kang MRT,1394,Lot One,1359,Chua Chu Kang Primary School,TRUE
21 HAIG RD,1.313159457,103.8952162,Paya Lebar MRT,796,Kinex,292,Kong Hwa School,TRUE
671B EDGEFIELD PLAINS,1.406191183,103.9116993,Punggol MRT,1512,Waterway Point,1714,Oasis Primary School,TRUE
469C SENGKANG WEST WAY,1.396323537,103.877422,Sengkang MRT,2376,The Seletar Mall,786,Fern Green Primary School,TRUE
837 YISHUN ST 81,1.416042708,103.8330865,Khatib MRT,224,Northpoint City,1670,Naval Base Primary School,TRUE
136 BEDOK NTH AVE 3,1.328154988,103.9352208,Bedok MRT,1079,Bedok Mall,992,Fengshan Primary School,TRUE
531 BEDOK NTH ST 3,1.333129919,103.9261531,Bedok Reservoir MRT,1196,Bedok Mall,1262,Yu Neng Primary School,TRUE
26 NEW UPP CHANGI RD,1.323338363,103.9342073,Bedok MRT,794,Bedok Mall,732,Fengshan Primary School,TRUE
217 BISHAN ST 23,1.356740015,103.8493295,Bishan MRT,942,Junction 8,940,Catholic High School,TRUE
10 JLN RUMAH TINGGI,1.288200189,103.8083694,Queenstown MRT,1325,Anchorpoint,661,Alexandra Primary School,FALSE
37 LIM LIAK ST,1.285084465,103.8304936,Tiong Bahru MRT,509,Tiong Bahru Plaza,552,Zhangde Primary School,TRUE
46 SENG POH RD,1.284003917,103.8315298,Havelock MRT,701,Tiong Bahru Plaza,786,Zhangde Primary School,TRUE
45 LENGKOK BAHRU,1.286742975,103.8126313,Redhill MRT,647,Anchorpoint,1244,Alexandra Primary School,FALSE
443A FAJAR RD,1.381466364,103.7697667,Bukit Panjang MRT,1267,Bukit Panjang Plaza,1026,Zhenghua Primary School,TRUE
443B FAJAR RD,1.381017228,103.7695952,Bukit Panjang MRT,1326,Bukit Panjang Plaza,1086,Zhenghua Primary School,TRUE
442D FAJAR RD,1.380921472,103.7708407,Bukit Panjang MRT,1437,Bukit Panjang Plaza,1184,Zhenghua Primary School,TRUE
490C CHOA CHU KANG AVE 5,1.375750144,103.7417518,Choa Chu Kang MRT,1470,Lot One,1435,Chua Chu Kang Primary School,TRUE
278 CHOA CHU KANG AVE 3,1.380093062,103.7434654,Choa Chu Kang MRT,770,Lot One,735,Chua Chu Kang Primary School,TRUE
490A CHOA CHU KANG AVE 5,1.375197381,103.7414264,Choa Chu Kang MRT,1599,Lot One,1564,Chua Chu Kang Primary School,TRUE
487A CHOA CHU KANG AVE 5,1.375877509,103.7391138,Choa Chu Kang MRT,1500,Lot One,1464,Chua Chu Kang Primary School,TRUE
489B CHOA CHU KANG AVE 5,1.375736366,103.7395846,Choa Chu Kang MRT,1503,Lot One,1468,Chua Chu Kang Primary School,TRUE
144 TECK WHYE LANE,1.380827687,103.7524766,Bukit Panjang MRT,1214,Junction 10,1208,South View Primary School,TRUE
