Address,Lat,Long,Nearest MRT,Distance to MRT,Nearest Mall,Distance to Mall,Nearest Pri Sch,Within 1km of Pri
723 BEDOK RESERVOIR RD,1.336954394,103.9289606,Bedok Reservoir MRT,752,Bedok Mall,1912,Yu Neng Primary School,TRUE
722 BEDOK RESERVOIR RD,1.336636993,103.9282078,Bedok Reservoir MRT,888,Bedok Mall,1775,Yu Neng Primary School,TRUE
219C BEDOK CTRL,1.324855984,103.9335196,Bedok MRT,620,Bedok Mall,558,Fengshan Primary School,TRUE
640 BEDOK RESERVOIR RD,1.332101322,103.9049532,Kaki Bukit MRT,787,Singpost Centre,2903,Maha Bodhi School,TRUE
160 BEDOK STH AVE 3,1.31925983,103.9452029,Bayshore MRT,1211,East Village,2532,Temasek Primary School,TRUE
94C BEDOK NTH AVE 4,1.333614296,103.9426283,Tanah Merah MRT,1091,Eastpoint Mall,2429,Red Swastika School,TRUE
22 SIN MING RD,1.357284441,103.8393967,Upper Thomson MRT,1123,Thomson Plaza,1541,Catholic High School,TRUE
407 SIN MING AVE,1.363453206,103.8342146,Bright Hill MRT,171,Thomson Plaza,1743,Ai Tong School,TRUE
105 BISHAN ST 12,1.345894936,103.8473653,Bishan MRT,942,Junction 8,678,Kuo Chuan Presbyterian Primary School,TRUE
167 BISHAN ST 13,1.348003411,103.8553957,Bishan MRT,815,Junction 8,975,Kuo Chuan Presbyterian Primary School,TRUE
111 BISHAN ST 12,1.347067527,103.8480637,Bishan MRT,754,Junction 8,590,Kuo Chuan Presbyterian Primary School,TRUE
181 BISHAN ST 13,1.349138096,103.8528785,Bishan MRT,718,Junction 8,707,Kuo Chuan Presbyterian Primary School,TRUE
166 BISHAN ST 13,1.348863451,103.8552258,Bishan MRT,760,Junction 8,935,Kuo Chuan Presbyterian Primary School,TRUE
109 BISHAN ST 12,1.346750596,103.8479902,Bishan MRT,836,Junction 8,618,Kuo Chuan Presbyterian Primary School,TRUE
115 BISHAN ST 12,1.347918389,103.8487501,Bishan MRT,584,Junction 8,428,Kuo Chuan Presbyterian Primary School,TRUE
260 BISHAN ST 22,1.359613768,103.8421874,Bright Hill MRT,1297,Junction 8,1707,Catholic High School,TRUE
275A BISHAN ST 24,1.35673539,103.8435198,Bishan MRT,1332,Junction 8,1311,Catholic High School,TRUE
214 BISHAN ST 23,1.357511897,103.8483034,Bishan MRT,1084,Junction 8,1083,Catholic High School,TRUE
182 BISHAN ST 13,1.350205825,103.8530492,Bishan MRT,441,Junction 8,593,Kuo Chuan Presbyterian Primary School,TRUE
448 BRIGHT HILL DR,1.35840617,103.8314316,Upper Thomson MRT,664,Thomson Plaza,858,Ai Tong School,TRUE
402 SIN MING AVE,1.362768866,103.8327589,Bright Hill MRT,72,Thomson Plaza,1533,Ai Tong School,TRUE
128 BISHAN ST 12,1.34608832,103.8504668,Bishan MRT,740,Junction 8,682,Kuo Chuan Presbyterian Primary School,TRUE
303 SHUNFU RD,1.349769429,103.8384765,Marymount MRT,258,Thomson Plaza,1451,Catholic High School,TRUE
231 BISHAN ST 23,1.357291229,103.8458457,Bishan MRT,1076,Junction 8,1063,Catholic High School,TRUE
134 BISHAN ST 12,1.345411048,103.8520798,Bishan MRT,919,Junction 8,861,Kuo Chuan Presbyterian Primary School,TRUE
342 BT BATOK ST 34,1.362583231,103.7485749,Bukit Gombak MRT,768,West Mall,1716,Dazhong Primary School,TRUE
530 BT BATOK ST 51,1.356181992,103.7510934,Bukit Gombak MRT,341,West Mall,1259,Dazhong Primary School,TRUE
145 BT BATOK ST 11,1.349973055,103.7437249,Bukit Batok MRT,899,West Mall,884,Princess Elizabeth Primary School,TRUE
528 BT BATOK ST 51,1.356651468,103.7510918,Bukit Gombak MRT,279,West Mall,1255,Dazhong Primary School,TRUE
537 BT BATOK ST 52,1.355115164,103.7508779,Bukit Gombak MRT,501,West Mall,1299,Dazhong Primary School,TRUE
213 BT BATOK ST 21,1.346818455,103.7524969,Bukit Batok MRT,690,West Mall,776,Bukit View Primary School,TRUE
219 BT BATOK ST 21,1.347207298,103.7549997,Bukit Batok MRT,930,West Mall,964,Bukit View Primary School,TRUE
235 BT BATOK EAST AVE 5,1.348483521,103.7563004,Bukit Batok MRT,979,West Mall,1005,Keming Primary School,TRUE
130 BT BATOK WEST AVE 6,1.35106126,103.7458574,Bukit Batok MRT,679,West Mall,588,Princess Elizabeth Primary School,TRUE
212 BT BATOK ST 21,1.347192811,103.7522173,Bukit Batok MRT,662,West Mall,729,Bukit View Primary School,TRUE
346 BT BATOK ST 34,1.362471404,103.7505611,Bukit Gombak MRT,528,West Mall,1788,Dazhong Primary School,TRUE
226 BT BATOK CTRL,1.348733378,103.7531743,Bukit Batok MRT,617,West Mall,646,Bukit View Primary School,TRUE
247 BT BATOK EAST AVE 5,1.349927212,103.7569803,Bukit Batok MRT,1198,West Mall,1219,Keming Primary School,TRUE
169 BT BATOK WEST AVE 8,1.346607336,103.7409093,Bukit Batok MRT,1149,West Mall,1307,Princess Elizabeth Primary School,TRUE
154 BT BATOK ST 11,1.347735583,103.743984,Bukit Batok MRT,818,West Mall,977,Princess Elizabeth Primary School,TRUE
260 BT BATOK EAST AVE 4,1.350912592,103.7590211,Bukit Batok MRT,1362,West Mall,1383,Keming Primary School,TRUE
360 BT BATOK ST 31,1.361067048,103.7506254,Bukit Gombak MRT,366,West Mall,1621,Dazhong Primary School,TRUE
217 BT BATOK ST 21,1.346733922,103.7547278,Bukit Batok MRT,934,West Mall,1004,Bukit View Primary School,TRUE
178 BT BATOK WEST AVE 8,1.346054606,103.7426059,Bukit Batok MRT,973,West Mall,1131,Princess Elizabeth Primary School,TRUE
265 BT BATOK EAST AVE 4,1.350008402,103.7598628,Hume MRT,2027,West Mall,1508,Keming Primary School,TRUE
134 BT BATOK WEST AVE 6,1.35159087,103.7445096,Bukit Batok MRT,868,West Mall,763,Princess Elizabeth Primary School,TRUE
301 BT BATOK ST 31,1.356769427,103.7487743,Bukit Gombak MRT,468,West Mall,1002,Dazhong Primary School,TRUE
289E BT BATOK ST 25,1.344210302,103.7592055,Bukit Batok MRT,1533,West Mall,1562,Keming Primary School,TRUE
244 BT BATOK EAST AVE 5,1.349182698,103.7572392,Bukit Batok MRT,1204,West Mall,1231,Keming Primary School,TRUE
248 BT BATOK EAST AVE 5,1.350258841,103.7566047,Bukit Batok MRT,1121,West Mall,1142,Keming Primary School,TRUE
290D BT BATOK EAST AVE 3,1.344411499,103.7574615,Bukit Batok MRT,1366,West Mall,1394,Keming Primary School,TRUE
395 BT BATOK WEST AVE 5,1.366316899,103.7522876,Bukit Gombak MRT,941,HillV2,3879,Dazhong Primary School,TRUE
642 BT BATOK CTRL,1.349006479,103.7517067,Bukit Batok MRT,345,West Mall,412,Bukit View Primary School,TRUE
185 BT BATOK WEST AVE 6,1.347036728,103.7449775,Bukit Batok MRT,725,West Mall,883,Princess Elizabeth Primary School,TRUE
106 BT BATOK CTRL,1.348222309,103.7471885,Bukit Batok MRT,369,West Mall,589,Princess Elizabeth Primary School,TRUE
210 BT BATOK ST 21,1.345480082,103.7499561,Bukit Batok MRT,562,West Mall,782,Bukit View Primary School,TRUE
386 BT BATOK WEST AVE 5,1.363939422,103.752556,Bukit Gombak MRT,672,HillV2,3610,Dazhong Primary School,TRUE
394 BT BATOK WEST AVE 5,1.366423112,103.7526886,Bukit Gombak MRT,994,HillV2,3932,Dazhong Primary School,TRUE
190 BT BATOK WEST AVE 6,1.34538562,103.7460455,Bukit Batok MRT,646,West Mall,866,Princess Elizabeth Primary School,TRUE
206 BT BATOK ST 21,1.346671926,103.7493835,Bukit Batok MRT,385,West Mall,605,Bukit View Primary School,TRUE
211 BT BATOK ST 21,1.346000907,103.7503677,Bukit Batok MRT,504,West Mall,724,Bukit View Primary School,TRUE
391 BT BATOK WEST AVE 5,1.365853749,103.7527285,Bukit Gombak MRT,933,HillV2,3871,Dazhong Primary School,TRUE
205 BT BATOK ST 21,1.347121729,103.7500573,Bukit Batok MRT,351,West Mall,572,Bukit View Primary School,TRUE
193 BT BATOK WEST AVE 6,1.346008943,103.7444236,Bukit Batok MRT,819,West Mall,1036,Princess Elizabeth Primary School,TRUE
624 BT BATOK CTRL,1.351341461,103.7495086,Bukit Batok MRT,451,West Mall,241,Bukit View Primary School,TRUE
290A BT BATOK ST 24,1.343262731,103.7565315,Bukit Batok MRT,1374,West Mall,1594,Keming Primary School,TRUE
141 BT BATOK ST 11,1.350441718,103.743212,Bukit Batok MRT,948,West Mall,933,Princess Elizabeth Primary School,TRUE
120 BT BATOK CTRL,1.351059427,103.7477123,Bukit Batok MRT,482,West Mall,289,Princess Elizabeth Primary School,TRUE
289A BT BATOK ST 25,1.344489809,103.7605172,Bukit Batok MRT,1674,West Mall,1702,Keming Primary School,TRUE
10 JLN BT HO SWEE,1.28745837,103.8326758,Havelock MRT,324,Tiong Bahru Plaza,873,Zhangde Primary School,TRUE
2 JLN BT HO SWEE,1.28728822,103.831873,Havelock MRT,430,Tiong Bahru Plaza,762,Zhangde Primary School,TRUE
45 TELOK BLANGAH DR,1.271757071,103.8095604,Telok Blangah MRT,153,HarbourFront Centre,1727,Radin Mas Primary School,FALSE
36 BEO CRES,1.288359771,103.8270569,Tiong Bahru MRT,544,Tiong Bahru Plaza,588,Alexandra Primary School,TRUE
20 TELOK BLANGAH CRES,1.276915948,103.8218187,Tiong Bahru MRT,1487,Tiong Bahru Plaza,1603,Radin Mas Primary School,TRUE
16 TAMAN HO SWEE,1.288001696,103.8316146,Havelock MRT,402,Tiong Bahru Plaza,816,Zhangde Primary School,TRUE
32 TELOK BLANGAH RISE,1.273131053,103.8216629,HarbourFront MRT,1730,VivoCity,1638,Radin Mas Primary School,TRUE
33 TELOK BLANGAH WAY,1.274361964,103.822184,HarbourFront MRT,1733,VivoCity,1641,Radin Mas Primary School,TRUE
142 JLN BT MERAH,1.277008235,103.8280562,Tiong Bahru MRT,1346,Tiong Bahru Plaza,1462,Radin Mas Primary School,TRUE
131 JLN BT MERAH,1.280189423,103.8281784,Tiong Bahru MRT,883,Tiong Bahru Plaza,999,Zhangde Primary School,TRUE
30 JLN KLINIK,1.287669769,103.8282029,Tiong Bahru MRT,410,Tiong Bahru Plaza,453,Zhangde Primary School,TRUE
63 TELOK BLANGAH HTS,1.274831282,103.8109414,Telok Blangah MRT,712,HarbourFront Centre,1961,Radin Mas Primary School,FALSE
61 TELOK BLANGAH HTS,1.275705008,103.8120071,Telok Blangah MRT,871,HarbourFront Centre,2076,Radin Mas Primary School,FALSE
116 BT MERAH VIEW,1.285134271,103.8215322,Tiong Bahru MRT,826,Tiong Bahru Plaza,974,Zhangde Primary School,TRUE
44 TELOK BLANGAH DR,1.271408833,103.8108875,Telok Blangah MRT,230,HarbourFront Centre,1517,Radin Mas Primary School,FALSE
24 BEO CRES,1.288525352,103.8284586,Tiong Bahru MRT,572,Tiong Bahru Plaza,616,Alexandra Primary School,TRUE
78 INDUS RD,1.291304428,103.8274478,Tiong Bahru MRT,941,Valley Point,484,Alexandra Primary School,TRUE
55 TELOK BLANGAH DR,1.27396036,103.8121495,Telok Blangah MRT,655,HarbourFront Centre,1833,Radin Mas Primary School,FALSE
130 BT MERAH VIEW,1.284587128,103.8243603,Tiong Bahru MRT,545,Tiong Bahru Plaza,661,Zhangde Primary School,TRUE
122 BT MERAH LANE 1,1.286458819,103.8042002,Queenstown MRT,1219,Anchorpoint,399,Alexandra Primary School,FALSE
80C TELOK BLANGAH ST 31,1.273494356,103.8072294,Telok Blangah MRT,602,Anchorpoint,2755,Radin Mas Primary School,FALSE
50 MOH GUAN TER,1.28407985,103.8305255,Tiong Bahru MRT,625,Tiong Bahru Plaza,668,Zhangde Primary School,TRUE
47 MOH GUAN TER,1.284205817,103.8310634,Tiong Bahru MRT,668,Tiong Bahru Plaza,711,Zhangde Primary School,TRUE
54 HAVELOCK RD,1.289308932,103.8292333,Tiong Bahru MRT,798,Tiong Bahru Plaza,842,Alexandra Primary School,TRUE
101 HENDERSON CRES,1.290717998,103.8216252,Redhill MRT,739,Valley Point,840,Alexandra Primary School,TRUE
23 TELOK BLANGAH CRES,1.276080724,103.8208395,HarbourFront MRT,2037,VivoCity,1945,Radin Mas Primary School,TRUE
106 HENDERSON CRES,1.289426079,103.8222768,Redhill MRT,718,Tiong Bahru Plaza,935,Alexandra Primary School,TRUE
115 BT PURMEI RD,1.275352014,103.8269502,Tiong Bahru MRT,2108,Tiong Bahru Plaza,2224,Radin Mas Primary School,TRUE
108 BT PURMEI RD,1.273357314,103.8253458,HarbourFront MRT,1613,VivoCity,1521,Radin Mas Primary School,TRUE
129 KIM TIAN RD,1.281153031,103.8288562,Tiong Bahru MRT,855,Tiong Bahru Plaza,936,Zhangde Primary School,TRUE
106B DEPOT RD,1.280649504,103.8107509,Telok Blangah MRT,2080,Anchorpoint,2009,Radin Mas Primary School,FALSE
38 JLN RUMAH TINGGI,1.288633659,103.8096439,Queenstown MRT,1231,Anchorpoint,882,Alexandra Primary School,FALSE
3 DELTA AVE,1.291698335,103.8273345,Tiong Bahru MRT,1073,Valley Point,403,Alexandra Primary School,TRUE
